"","vowel","X","token","fit","CI","rm.ranef","ul","ll","vowel.1","X.1","token.1","fit.1","CI.1","rm.ranef.1","ul.1","ll.1","vowel.2","X.2","token.2","fit.2","CI.2","rm.ranef.2","ul.2","ll.2"
"1","i",1.03878437551051,"0",292.417815217575,27.8645685043849,"s(token)",320.28238372196,264.55324671319,"u",1.03878437551051,"0",264.939606929244,3.76927619863411,"s(token)",268.708883127878,261.17033073061,"y",1.03878437551051,"0",231.129429765172,7.83070062392523,"s(token)",238.960130389097,223.298729141246
"2","i",1.08291406537821,"0",280.262694570693,21.7929713240718,"s(token)",302.055665894765,258.469723246621,"u",1.08291406537821,"0",271.142659105472,3.60459624512694,"s(token)",274.747255350599,267.538062860346,"y",1.08291406537821,"0",231.865959912474,6.45511920993906,"s(token)",238.321079122413,225.410840702535
"3","i",1.12704375524592,"0",268.186969600357,15.836735990496,"s(token)",284.023705590853,252.350233609861,"u",1.12704375524592,"0",277.437946342973,3.52357720752916,"s(token)",280.961523550502,273.914369135444,"y",1.12704375524592,"0",232.639281895146,5.27204738722552,"s(token)",237.911329282372,227.367234507921
"4","i",1.17117344511363,"0",256.786339895715,10.3578022386108,"s(token)",267.144142134326,246.428537657104,"u",1.17117344511363,"0",284.434517330145,3.52092463367827,"s(token)",287.955441963823,280.913592696467,"y",1.17117344511363,"0",233.729667871021,4.44968290033645,"s(token)",238.179350771358,229.279984970685
"5","i",1.21530313498133,"0",247.650890812446,6.20772502594629,"s(token)",253.858615838392,241.4431657865,"u",1.21530313498133,"0",293.43535082888,3.55726813280238,"s(token)",296.992618961682,289.878082696078,"y",1.21530313498133,"0",235.901848144978,4.08054439674533,"s(token)",239.982392541723,231.821303748233
"6","i",1.25943282484904,"0",243.08298751867,4.31495238059305,"s(token)",247.397939899263,238.768035138077,"u",1.25943282484904,"0",305.50910465242,3.60026688647535,"s(token)",309.109371538895,301.908837765944,"y",1.25943282484904,"0",240.305207245714,3.98451957614994,"s(token)",244.289726821864,236.320687669564
"7","i",1.30356251471674,"0",245.330055251585,4.0522236699292,"s(token)",249.382278921514,241.277831581655,"u",1.30356251471674,"0",320.3495878927,3.67575437778558,"s(token)",324.025342270486,316.673833514914,"y",1.30356251471674,"0",248.129175402998,3.96483899221586,"s(token)",252.094014395214,244.164336410782
"8","i",1.34769220458445,"0",255.517316668553,4.03173769482902,"s(token)",259.549054363382,251.485578973724,"u",1.34769220458445,"0",335.705730230695,3.7918967326755,"s(token)",339.497626963371,331.91383349802,"y",1.34769220458445,"0",260.062982599324,3.99908659523798,"s(token)",264.062069194562,256.063896004086
"9","i",1.39182189445216,"0",272.584127066649,4.05003122151139,"s(token)",276.634158288161,268.534095845138,"u",1.39182189445216,"0",348.307478196866,3.8779157572102,"s(token)",352.185393954076,344.429562439656,"y",1.39182189445216,"0",275.660726175309,4.05333337428767,"s(token)",279.714059549597,271.607392801021
"10","i",1.43595158431986,"0",293.64020851237,4.09141276346697,"s(token)",297.731621275837,289.548795748903,"u",1.43595158431986,"0",356.241788883609,3.90918447503733,"s(token)",360.150973358646,352.332604408571,"y",1.43595158431986,"0",293.377178553204,4.08024070883418,"s(token)",297.457419262038,289.29693784437
"11","i",1.48008127418757,"0",315.202256535784,4.11976916594052,"s(token)",319.322025701725,311.082487369844,"u",1.48008127418757,"0",360.02665444622,3.92468481591131,"s(token)",363.951339262131,356.101969630308,"y",1.48008127418757,"0",311.149188200767,4.109154006857,"s(token)",315.258342207624,307.04003419391
"12","i",1.52421096405528,"0",334.381384029354,4.15033639037508,"s(token)",338.531720419729,330.231047638978,"u",1.52421096405528,"0",361.487665523368,3.93014397150389,"s(token)",365.417809494872,357.557521551865,"y",1.52421096405528,"0",327.089927350149,4.1374297866015,"s(token)",331.227357136751,322.952497563548
"13","i",1.56834065392298,"0",349.667718485983,4.1635594041128,"s(token)",353.831277890096,345.50415908187,"u",1.56834065392298,"0",361.64655626578,3.93557641290454,"s(token)",365.582132678684,357.710979852875,"y",1.56834065392298,"0",340.060438115024,4.15456510334631,"s(token)",344.21500321837,335.905873011678
"14","i",1.61247034379069,"0",360.837819673827,4.17407553509739,"s(token)",365.011895208925,356.66374413873,"u",1.61247034379069,"0",359.861303748945,3.94701611792771,"s(token)",363.808319866873,355.914287631017,"y",1.61247034379069,"0",349.741221188132,4.17541408208098,"s(token)",353.916635270213,345.565807106052
"15","i",1.65660003365839,"0",368.398185482811,4.18555498204715,"s(token)",372.583740464858,364.212630500764,"u",1.65660003365839,"0",354.790502347128,3.93858300237051,"s(token)",358.729085349498,350.851919344757,"y",1.65660003365839,"0",356.351646157711,4.18745551285721,"s(token)",360.539101670568,352.164190644854
"16","i",1.7007297235261,"0",372.975491343807,4.18620853228985,"s(token)",377.161699876097,368.789282811517,"u",1.7007297235261,"0",345.870381816533,3.91208851081864,"s(token)",349.782470327352,341.958293305714,"y",1.7007297235261,"0",360.261211235564,4.18894381179036,"s(token)",364.450155047354,356.072267423774
