,vowel,time_point,x,y,token
174,i,74,685.15,247.9,1
175,i,75,687.24,251.23,1
176,i,76,689.26,254.64,1
177,i,77,691.25,258.06,1
178,i,78,693.26,261.47,1
179,i,79,695.29,264.85,1
180,i,80,697.29,268.25,1
181,i,81,699.28,271.66,1
182,i,82,701.3,275.04,1
183,i,83,703.38,278.39,1
184,i,84,705.54,281.67,1
185,i,85,707.78,284.91,1
186,i,86,710.08,288.12,1
187,i,87,712.41,291.3,1
188,i,88,714.75,294.48,1
189,i,89,717.08,297.66,1
190,i,90,719.45,300.8,1
191,i,91,721.85,303.94,1
192,i,92,724.24,307.07,1
193,i,93,726.6,310.23,1
194,i,94,728.89,313.43,1
195,i,95,731.14,316.66,1
196,i,96,733.35,319.93,1
197,i,97,735.53,323.21,1
198,i,98,737.68,326.52,1
199,i,99,739.78,329.86,1
200,i,0,494.92,348.59,2
201,i,1,495.47,344.72,2
202,i,2,496.23,340.88,2
203,i,3,497.14,337.07,2
204,i,4,498.14,333.29,2
205,i,5,499.16,329.55,2
206,i,6,500.22,325.82,2
207,i,7,501.43,322.06,2
208,i,8,502.81,318.34,2
209,i,9,504.35,314.72,2
210,i,10,506.07,311.27,2
211,i,11,508.02,308.05,2
212,i,12,510.42,305.05,2
213,i,13,513.12,302.19,2
214,i,14,515.92,299.36,2
215,i,15,518.64,296.49,2
216,i,16,521.14,293.48,2
217,i,17,523.63,290.44,2
218,i,18,526.11,287.36,2
219,i,19,528.49,284.23,2
220,i,20,530.65,281.01,2
221,i,21,532.5,277.67,2
222,i,22,534.02,274.14,2
223,i,23,535.31,270.46,2
224,i,24,536.49,266.71,2
225,i,25,537.7,262.96,2
226,i,26,539.07,259.29,2
227,i,27,540.6,255.7,2
228,i,28,542.2,252.1,2
229,i,29,543.88,248.55,2
230,i,30,545.64,245.06,2
231,i,31,547.5,241.68,2
232,i,32,549.5,238.4,2
233,i,33,551.71,235.15,2
234,i,34,554.11,231.98,2
235,i,35,556.66,228.95,2
236,i,36,559.33,226.14,2
237,i,37,562.11,223.56,2
238,i,38,565.11,221.05,2
239,i,39,568.31,218.67,2
240,i,40,571.65,216.5,2
241,i,41,575.08,214.61,2
242,i,42,578.56,213.06,2
243,i,43,582.15,211.66,2
244,i,44,585.86,210.36,2
245,i,45,589.65,209.21,2
246,i,46,593.48,208.26,2
247,i,47,597.3,207.56,2
248,i,48,601.14,206.99,2
249,i,49,605.02,206.48,2
250,i,50,608.92,206.06,2
251,i,51,612.83,205.79,2
252,i,52,616.72,205.71,2
253,i,53,620.6,205.87,2
254,i,54,624.49,206.3,2
255,i,55,628.37,206.92,2
256,i,56,632.23,207.67,2
257,i,57,636.03,208.49,2
258,i,58,639.77,209.38,2
259,i,59,643.51,210.55,2
260,i,60,647.21,211.97,2
261,i,61,650.82,213.58,2
262,i,62,654.32,215.31,2
263,i,63,657.66,217.13,2
264,i,64,660.91,219.23,2
265,i,65,664.07,221.59,2
266,i,66,667.11,224.13,2
267,i,67,670.04,226.77,2
268,i,68,672.84,229.43,2
269,i,69,675.56,232.2,2
270,i,70,678.2,235.1,2
271,i,71,680.74,238.11,2
272,i,72,683.16,241.19,2
273,i,73,685.44,244.34,2
274,i,74,687.54,247.58,2
275,i,75,689.51,250.94,2
276,i,76,691.4,254.36,2
277,i,77,693.31,257.78,2
278,i,78,695.29,261.15,2
279,i,79,697.39,264.44,2
280,i,80,699.54,267.7,2
281,i,81,701.71,270.93,2
282,i,82,703.91,274.16,2
283,i,83,706.1,277.38,2
284,i,84,708.29,280.61,2
285,i,85,710.47,283.84,2
286,i,86,712.65,287.07,2
287,i,87,714.85,290.29,2
288,i,88,717.08,293.49,2
289,i,89,719.34,296.67,2
290,i,90,721.64,299.81,2
291,i,91,723.97,302.94,2
292,i,92,726.32,306.05,2
293,i,93,728.67,309.17,2
294,i,94,731.01,312.28,2
295,i,95,733.36,315.4,2
296,i,96,735.71,318.51,2
297,i,97,738.06,321.62,2
298,i,98,740.42,324.72,2
299,i,99,742.78,327.82,2
300,i,0,494.92,342.83,3
301,i,1,495.54,338.95,3
302,i,2,496.22,335.09,3
303,i,3,496.96,331.24,3
304,i,4,497.75,327.4,3
305,i,5,498.58,323.57,3
306,i,6,499.46,319.76,3
307,i,7,500.44,315.97,3
308,i,8,501.46,312.18,3
309,i,9,502.5,308.4,3
310,i,10,503.49,304.61,3
311,i,11,504.4,300.79,3
312,i,12,505.24,296.96,3
313,i,13,506.03,293.11,3
314,i,14,506.84,289.27,3
315,i,15,507.68,285.46,3
316,i,16,508.62,281.66,3
317,i,17,509.65,277.87,3
318,i,18,510.78,274.08,3
319,i,19,511.99,270.33,3
320,i,20,513.3,266.64,3
321,i,21,514.7,263.05,3
322,i,22,516.31,259.5,3
323,i,23,518.16,256.0,3
324,i,24,520.19,252.58,3
325,i,25,522.35,249.27,3
326,i,26,524.6,246.11,3
327,i,27,527.0,243.08,3
328,i,28,529.61,240.15,3
329,i,29,532.38,237.31,3
330,i,30,535.25,234.58,3
331,i,31,538.18,231.97,3
332,i,32,541.13,229.44,3
333,i,33,544.19,226.96,3
334,i,34,547.34,224.56,3
335,i,35,550.56,222.29,3
336,i,36,553.85,220.17,3
337,i,37,557.21,218.24,3
338,i,38,560.65,216.35,3
339,i,39,564.19,214.55,3
340,i,40,567.79,212.91,3
341,i,41,571.45,211.49,3
342,i,42,575.14,210.34,3
343,i,43,578.9,209.28,3
344,i,44,582.73,208.29,3
345,i,45,586.6,207.45,3
346,i,46,590.49,206.84,3
347,i,47,594.37,206.53,3
348,i,48,598.27,206.46,3
349,i,49,602.2,206.55,3
350,i,50,606.13,206.78,3
351,i,51,610.06,207.12,3
352,i,52,613.95,207.58,3
353,i,53,617.81,208.17,3
354,i,54,621.66,208.95,3
355,i,55,625.49,209.88,3
356,i,56,629.29,210.9,3
357,i,57,633.05,211.98,3
358,i,58,636.78,213.1,3
359,i,59,640.49,214.39,3
360,i,60,644.18,215.81,3
361,i,61,647.81,217.34,3
362,i,62,651.38,218.94,3
363,i,63,654.88,220.61,3
364,i,64,658.39,222.43,3
365,i,65,661.86,224.42,3
366,i,66,665.22,226.58,3
367,i,67,668.37,228.88,3
368,i,68,671.24,231.34,3
369,i,69,673.93,234.09,3
370,i,70,676.46,237.11,3
371,i,71,678.86,240.3,3
372,i,72,681.13,243.59,3
373,i,73,683.28,246.87,3
374,i,74,685.3,250.19,3
375,i,75,687.21,253.61,3
376,i,76,689.06,257.08,3
377,i,77,690.91,260.55,3
378,i,78,692.82,263.99,3
379,i,79,694.79,267.38,3
380,i,80,696.77,270.78,3
381,i,81,698.77,274.16,3
382,i,82,700.81,277.51,3
383,i,83,702.91,280.8,3
384,i,84,705.08,284.04,3
385,i,85,707.31,287.32,3
386,i,86,709.64,290.55,3
387,i,87,712.07,293.65,3
388,i,88,714.66,296.56,3
389,i,89,717.42,299.18,3
390,i,90,720.5,301.52,3
391,i,91,723.79,303.66,3
392,i,92,727.18,305.75,3
393,i,93,730.52,307.89,3
394,i,94,733.7,310.2,3
395,i,95,736.78,312.63,3
396,i,96,739.81,315.11,3
397,i,97,742.81,317.64,3
398,i,98,745.76,320.22,3
399,i,99,748.66,322.86,3
400,i,0,496.92,349.68,4
401,i,1,497.5,345.7,4
402,i,2,498.13,341.72,4
403,i,3,498.79,337.74,4
404,i,4,499.5,333.77,4
405,i,5,500.23,329.81,4
406,i,6,501.0,325.86,4
407,i,7,501.83,321.92,4
408,i,8,502.69,317.98,4
409,i,9,503.57,314.05,4
410,i,10,504.44,310.12,4
411,i,11,505.3,306.18,4
412,i,12,506.13,302.22,4
413,i,13,506.97,298.27,4
414,i,14,507.83,294.33,4
415,i,15,508.76,290.42,4
416,i,16,509.8,286.56,4
417,i,17,511.01,282.72,4
418,i,18,512.38,278.92,4
419,i,19,513.87,275.15,4
420,i,20,515.43,271.42,4
421,i,21,517.02,267.74,4
422,i,22,518.7,264.08,4
423,i,23,520.5,260.45,4
424,i,24,522.41,256.87,4
425,i,25,524.41,253.36,4
426,i,26,526.49,249.95,4
427,i,27,528.69,246.61,4
428,i,28,531.06,243.32,4
429,i,29,533.56,240.11,4
430,i,30,536.17,237.01,4
431,i,31,538.86,234.03,4
432,i,32,541.63,231.15,4
433,i,33,544.54,228.27,4
434,i,34,547.57,225.49,4
435,i,35,550.74,222.92,4
436,i,36,554.01,220.65,4
437,i,37,557.41,218.74,4
438,i,38,561.01,216.99,4
439,i,39,564.75,215.38,4
440,i,40,568.59,213.93,4
441,i,41,572.46,212.67,4
442,i,42,576.32,211.61,4
443,i,43,580.2,210.62,4
444,i,44,584.13,209.69,4
445,i,45,588.09,208.83,4
446,i,46,592.07,208.09,4
447,i,47,596.05,207.49,4
448,i,48,600.05,206.98,4
449,i,49,604.08,206.54,4
450,i,50,608.11,206.2,4
451,i,51,612.14,205.99,4
452,i,52,616.14,205.95,4
453,i,53,620.14,206.18,4
454,i,54,624.14,206.79,4
455,i,55,628.12,207.67,4
456,i,56,632.06,208.73,4
457,i,57,635.92,209.87,4
458,i,58,639.69,211.09,4
459,i,59,643.42,212.63,4
460,i,60,647.09,214.42,4
461,i,61,650.66,216.4,4
462,i,62,654.12,218.5,4
463,i,63,657.45,220.66,4
464,i,64,660.66,223.05,4
465,i,65,663.79,225.62,4
466,i,66,666.83,228.33,4
467,i,67,669.79,231.11,4
468,i,68,672.68,233.9,4
469,i,69,675.52,236.75,4
470,i,70,678.31,239.68,4
471,i,71,681.02,242.7,4
472,i,72,683.63,245.78,4
473,i,73,686.1,248.93,4
474,i,74,688.42,252.2,4
475,i,75,690.6,255.58,4
476,i,76,692.72,259.02,4
477,i,77,694.85,262.46,4
478,i,78,697.06,265.84,4
479,i,79,699.38,269.13,4
480,i,80,701.74,272.39,4
481,i,81,704.14,275.63,4
482,i,82,706.56,278.86,4
483,i,83,708.97,282.08,4
484,i,84,711.36,285.33,4
485,i,85,713.74,288.58,4
486,i,86,716.12,291.83,4
487,i,87,718.52,295.07,4
488,i,88,720.94,298.28,4
489,i,89,723.42,301.46,4
490,i,90,725.96,304.58,4
491,i,91,728.54,307.68,4
492,i,92,731.14,310.76,4
493,i,93,733.7,313.87,4
494,i,94,736.21,317.02,4
495,i,95,738.68,320.2,4
496,i,96,741.13,323.41,4
497,i,97,743.54,326.63,4
498,i,98,745.93,329.87,4
499,i,99,748.3,333.14,4
500,i,0,500.92,349.72,5
501,i,1,502.19,346.1,5
502,i,2,503.42,342.47,5
503,i,3,504.62,338.83,5
504,i,4,505.77,335.17,5
505,i,5,506.87,331.5,5
506,i,6,507.93,327.82,5
507,i,7,508.97,324.13,5
508,i,8,509.97,320.43,5
509,i,9,510.92,316.71,5
510,i,10,511.82,312.99,5
511,i,11,512.62,309.24,5
512,i,12,513.29,305.46,5
513,i,13,513.88,301.66,5
514,i,14,514.47,297.87,5
515,i,15,515.14,294.1,5
516,i,16,515.95,290.38,5
517,i,17,516.93,286.67,5
518,i,18,518.04,282.97,5
519,i,19,519.25,279.31,5
520,i,20,520.54,275.7,5
521,i,21,521.88,272.15,5
522,i,22,523.35,268.61,5
523,i,23,524.99,265.09,5
524,i,24,526.79,261.64,5
525,i,25,528.73,258.31,5
526,i,26,530.79,255.16,5
527,i,27,533.06,252.18,5
528,i,28,535.61,249.33,5
529,i,29,538.34,246.57,5
530,i,30,541.18,243.9,5
531,i,31,544.03,241.31,5
532,i,32,546.87,238.76,5
533,i,33,549.78,236.27,5
534,i,34,552.75,233.83,5
535,i,35,555.77,231.45,5
536,i,36,558.81,229.11,5
537,i,37,561.86,226.8,5
538,i,38,564.93,224.48,5
539,i,39,568.04,222.19,5
540,i,40,571.19,219.99,5
541,i,41,574.4,217.92,5
542,i,42,577.69,216.02,5
543,i,43,581.07,214.18,5
544,i,44,584.53,212.4,5
545,i,45,588.05,210.78,5
546,i,46,591.63,209.4,5
547,i,47,595.25,208.34,5
548,i,48,598.94,207.45,5
549,i,49,602.71,206.65,5
550,i,50,606.53,205.98,5
551,i,51,610.36,205.49,5
552,i,52,614.18,205.23,5
553,i,53,617.99,205.24,5
554,i,54,621.84,205.47,5
555,i,55,625.69,205.88,5
556,i,56,629.51,206.42,5
557,i,57,633.27,207.07,5
558,i,58,636.96,207.86,5
559,i,59,640.63,208.99,5
560,i,60,644.25,210.4,5
561,i,61,647.8,211.99,5
562,i,62,651.26,213.69,5
563,i,63,654.6,215.44,5
564,i,64,657.87,217.41,5
565,i,65,661.06,219.58,5
566,i,66,664.17,221.9,5
567,i,67,667.19,224.3,5
568,i,68,670.12,226.73,5
569,i,69,673.0,229.25,5
570,i,70,675.83,231.88,5
571,i,71,678.57,234.61,5
572,i,72,681.18,237.43,5
573,i,73,683.64,240.33,5
574,i,74,685.96,243.33,5
575,i,75,688.17,246.46,5
576,i,76,690.3,249.67,5
577,i,77,692.37,252.93,5
578,i,78,694.41,256.19,5
579,i,79,696.39,259.46,5
580,i,80,698.31,262.77,5
581,i,81,700.2,266.12,5
582,i,82,702.09,269.46,5
583,i,83,704.02,272.76,5
584,i,84,706.02,276.03,5
585,i,85,708.04,279.3,5
586,i,86,710.09,282.56,5
587,i,87,712.2,285.77,5
588,i,88,714.39,288.9,5
589,i,89,716.68,291.94,5
590,i,90,719.13,294.87,5
591,i,91,721.69,297.73,5
592,i,92,724.29,300.56,5
593,i,93,726.89,303.39,5
594,i,94,729.42,306.28,5
595,i,95,731.92,309.19,5
596,i,96,734.4,312.11,5
597,i,97,736.87,315.04,5
598,i,98,739.33,317.97,5
599,i,99,741.78,320.92,5
600,i,0,502.92,350.19,6
601,i,1,503.12,346.37,6
602,i,2,503.39,342.55,6
603,i,3,503.71,338.73,6
604,i,4,504.06,334.92,6
605,i,5,504.43,331.12,6
606,i,6,504.83,327.32,6
607,i,7,505.29,323.52,6
608,i,8,505.81,319.72,6
609,i,9,506.34,315.93,6
610,i,10,506.89,312.15,6
611,i,11,507.42,308.36,6
612,i,12,507.97,304.53,6
613,i,13,508.56,300.71,6
614,i,14,509.23,296.92,6
615,i,15,510.01,293.21,6
616,i,16,510.94,289.61,6
617,i,17,512.3,286.11,6
618,i,18,514.03,282.68,6
619,i,19,515.98,279.31,6
620,i,20,518.03,275.98,6
621,i,21,520.02,272.7,6
622,i,22,522.06,269.47,6
623,i,23,524.19,266.29,6
624,i,24,526.36,263.14,6
625,i,25,528.55,259.99,6
626,i,26,530.7,256.82,6
627,i,27,532.79,253.6,6
628,i,28,534.82,250.34,6
629,i,29,536.87,247.09,6
630,i,30,538.96,243.88,6
631,i,31,541.14,240.78,6
632,i,32,543.46,237.77,6
633,i,33,545.91,234.79,6
634,i,34,548.48,231.89,6
635,i,35,551.16,229.11,6
636,i,36,553.93,226.51,6
637,i,37,556.81,224.11,6
638,i,38,559.86,221.78,6
639,i,39,563.05,219.57,6
640,i,40,566.34,217.52,6
641,i,41,569.71,215.67,6
642,i,42,573.12,214.07,6
643,i,43,576.62,212.54,6
644,i,44,580.21,211.07,6
645,i,45,583.87,209.78,6
646,i,46,587.57,208.74,6
647,i,47,591.29,208.05,6
648,i,48,595.05,207.57,6
649,i,49,598.86,207.17,6
650,i,50,602.71,206.89,6
651,i,51,606.56,206.74,6
652,i,52,610.38,206.74,6
653,i,53,614.2,206.93,6
654,i,54,618.04,207.31,6
655,i,55,621.87,207.86,6
656,i,56,625.66,208.54,6
657,i,57,629.37,209.32,6
658,i,58,632.99,210.25,6
659,i,59,636.55,211.58,6
660,i,60,640.06,213.22,6
661,i,61,643.5,215.04,6
662,i,62,646.87,216.95,6
663,i,63,650.15,218.86,6
664,i,64,653.35,220.93,6
665,i,65,656.49,223.13,6
666,i,66,659.58,225.43,6
667,i,67,662.63,227.77,6
668,i,68,665.66,230.1,6
669,i,69,668.69,232.45,6
670,i,70,671.71,234.84,6
671,i,71,674.67,237.29,6
672,i,72,677.53,239.83,6
673,i,73,680.25,242.46,6
674,i,74,682.84,245.23,6
675,i,75,685.34,248.13,6
676,i,76,687.76,251.13,6
677,i,77,690.1,254.18,6
678,i,78,692.4,257.25,6
679,i,79,694.63,260.34,6
680,i,80,696.8,263.48,6
681,i,81,698.93,266.67,6
682,i,82,701.04,269.87,6
683,i,83,703.16,273.06,6
684,i,84,705.28,276.24,6
685,i,85,707.39,279.44,6
686,i,86,709.49,282.64,6
687,i,87,711.6,285.83,6
688,i,88,713.74,289.0,6
689,i,89,715.93,292.13,6
690,i,90,718.2,295.21,6
691,i,91,720.5,298.27,6
692,i,92,722.81,301.32,6
693,i,93,725.09,304.4,6
694,i,94,727.3,307.52,6
695,i,95,729.46,310.67,6
696,i,96,731.59,313.85,6
697,i,97,733.69,317.05,6
698,i,98,735.75,320.27,6
699,i,99,737.78,323.52,6
700,i,0,499.92,364.99,7
701,i,1,501.65,360.97,7
702,i,2,503.32,356.92,7
703,i,3,504.92,352.85,7
704,i,4,506.43,348.75,7
705,i,5,507.81,344.62,7
706,i,6,509.1,340.47,7
707,i,7,510.34,336.28,7
708,i,8,511.52,332.06,7
709,i,9,512.61,327.82,7
710,i,10,513.59,323.57,7
711,i,11,514.44,319.29,7
712,i,12,515.1,314.97,7
713,i,13,515.66,310.63,7
714,i,14,516.21,306.28,7
715,i,15,516.87,301.97,7
716,i,16,517.72,297.71,7
717,i,17,518.77,293.47,7
718,i,18,519.96,289.25,7
719,i,19,521.27,285.07,7
720,i,20,522.67,280.92,7
721,i,21,524.12,276.83,7
722,i,22,525.7,272.77,7
723,i,23,527.44,268.75,7
724,i,24,529.29,264.78,7
725,i,25,531.22,260.84,7
726,i,26,533.19,256.96,7
727,i,27,535.21,253.09,7
728,i,28,537.34,249.24,7
729,i,29,539.57,245.43,7
730,i,30,541.91,241.73,7
731,i,31,544.37,238.17,7
732,i,32,546.98,234.75,7
733,i,33,549.81,231.38,7
734,i,34,552.84,228.12,7
735,i,35,556.02,225.04,7
736,i,36,559.32,222.2,7
737,i,37,562.72,219.64,7
738,i,38,566.33,217.23,7
739,i,39,570.11,214.95,7
740,i,40,574.0,212.83,7
741,i,41,577.95,210.89,7
742,i,42,581.91,209.11,7
743,i,43,585.92,207.36,7
744,i,44,590.0,205.66,7
745,i,45,594.14,204.12,7
746,i,46,598.33,202.87,7
747,i,47,602.55,202.02,7
748,i,48,606.86,201.47,7
749,i,49,611.24,201.14,7
750,i,50,615.65,201.01,7
751,i,51,620.05,201.08,7
752,i,52,624.4,201.34,7
753,i,53,628.71,201.87,7
754,i,54,633.04,202.75,7
755,i,55,637.34,203.91,7
756,i,56,641.54,205.28,7
757,i,57,645.58,206.8,7
758,i,58,649.44,208.53,7
759,i,59,653.18,210.73,7
760,i,60,656.81,213.26,7
761,i,61,660.34,215.99,7
762,i,62,663.76,218.8,7
763,i,63,667.1,221.58,7
764,i,64,670.36,224.47,7
765,i,65,673.55,227.48,7
766,i,66,676.66,230.58,7
767,i,67,679.68,233.75,7
768,i,68,682.61,236.96,7
769,i,69,685.5,240.23,7
770,i,70,688.33,243.58,7
771,i,71,691.08,247.01,7
772,i,72,693.7,250.51,7
773,i,73,696.17,254.08,7
774,i,74,698.45,257.77,7
775,i,75,700.6,261.56,7
776,i,76,702.68,265.42,7
777,i,77,704.76,269.28,7
778,i,78,706.9,273.1,7
779,i,79,709.11,276.87,7
780,i,80,711.34,280.63,7
781,i,81,713.59,284.38,7
782,i,82,715.87,288.1,7
783,i,83,718.2,291.79,7
784,i,84,720.58,295.44,7
785,i,85,723.03,299.05,7
786,i,86,725.53,302.64,7
787,i,87,728.06,306.2,7
788,i,88,730.61,309.75,7
789,i,89,733.18,313.28,7
790,i,90,735.8,316.77,7
